location,date,new_cases,population,population_density
Germany,15-04-20,2486,83783945,237.016
Germany,16-04-20,2866,83783945,237.016
Germany,17-04-20,3380,83783945,237.016
Germany,18-04-20,3609,83783945,237.016
Germany,19-04-20,2458,83783945,237.016
Germany,20-04-20,1775,83783945,237.016
Germany,21-04-20,1785,83783945,237.016
Germany,22-04-20,2237,83783945,237.016
Germany,23-04-20,2352,83783945,237.016
Germany,24-04-20,2337,83783945,237.016
Germany,25-04-20,2055,83783945,237.016
Germany,26-04-20,1737,83783945,237.016
Germany,27-04-20,1018,83783945,237.016
Germany,28-04-20,1144,83783945,237.016
Germany,29-04-20,1304,83783945,237.016
Germany,30-04-20,1478,83783945,237.016
Germany,01-05-20,1639,83783945,237.016
Germany,02-05-20,945,83783945,237.016
Germany,03-05-20,793,83783945,237.016
Germany,04-05-20,679,83783945,237.016
Germany,05-05-20,685,83783945,237.016
Germany,06-05-20,947,83783945,237.016
Germany,07-05-20,1284,83783945,237.016
Germany,08-05-20,1209,83783945,237.016
Germany,09-05-20,1251,83783945,237.016
Germany,10-05-20,667,83783945,237.016
Germany,11-05-20,357,83783945,237.016
Germany,12-05-20,933,83783945,237.016
Germany,13-05-20,798,83783945,237.016
Germany,14-05-20,933,83783945,237.016
Germany,15-05-20,913,83783945,237.016
Germany,16-05-20,620,83783945,237.016
Germany,17-05-20,583,83783945,237.016
Germany,18-05-20,342,83783945,237.016
Germany,19-05-20,513,83783945,237.016
Germany,20-05-20,797,83783945,237.016
Germany,21-05-20,745,83783945,237.016
Germany,22-05-20,460,83783945,237.016
Germany,23-05-20,638,83783945,237.016
Germany,24-05-20,431,83783945,237.016
Germany,25-05-20,289,83783945,237.016
Germany,26-05-20,432,83783945,237.016
Germany,27-05-20,362,83783945,237.016
Germany,28-05-20,353,83783945,237.016
Germany,29-05-20,741,83783945,237.016
Germany,30-05-20,738,83783945,237.016
Germany,31-05-20,286,83783945,237.016
Germany,01-06-20,333,83783945,237.016
Germany,02-06-20,213,83783945,237.016
Germany,03-06-20,342,83783945,237.016
Germany,04-06-20,394,83783945,237.016
Germany,05-06-20,507,83783945,237.016
Germany,06-06-20,407,83783945,237.016
Germany,07-06-20,301,83783945,237.016
Germany,08-06-20,214,83783945,237.016
Germany,09-06-20,350,83783945,237.016
Germany,10-06-20,318,83783945,237.016
Germany,11-06-20,555,83783945,237.016
Germany,12-06-20,258,83783945,237.016
Germany,13-06-20,348,83783945,237.016
Germany,14-06-20,247,83783945,237.016
Germany,15-06-20,192,83783945,237.016
Germany,16-06-20,378,83783945,237.016
Germany,17-06-20,345,83783945,237.016
Germany,18-06-20,580,83783945,237.016
Germany,19-06-20,770,83783945,237.016
Germany,20-06-20,601,83783945,237.016
Germany,21-06-20,687,83783945,237.016
Germany,22-06-20,537,83783945,237.016
Germany,23-06-20,503,83783945,237.016
Germany,24-06-20,587,83783945,237.016
Germany,25-06-20,630,83783945,237.016
Germany,26-06-20,477,83783945,237.016
Germany,27-06-20,687,83783945,237.016
Germany,28-06-20,256,83783945,237.016
Germany,29-06-20,262,83783945,237.016
Germany,30-06-20,498,83783945,237.016
Germany,01-07-20,466,83783945,237.016
Germany,02-07-20,503,83783945,237.016
Germany,03-07-20,446,83783945,237.016
Germany,04-07-20,422,83783945,237.016
Germany,05-07-20,239,83783945,237.016
Germany,06-07-20,219,83783945,237.016
Germany,07-07-20,390,83783945,237.016
Germany,08-07-20,397,83783945,237.016
Germany,09-07-20,442,83783945,237.016
Germany,10-07-20,395,83783945,237.016
Germany,11-07-20,378,83783945,237.016
Germany,12-07-20,248,83783945,237.016
Germany,13-07-20,159,83783945,237.016
Germany,14-07-20,412,83783945,237.016
Germany,15-07-20,351,83783945,237.016
Germany,16-07-20,534,83783945,237.016
